"id","armA","armB","responded","female","age","agegrp","edu","town","camp"
23982,1,0,0,0,43,"30-44","basic","rural","opp"
23983,0,1,0,0,40,"30-44","basic","rural","gov"
23984,1,0,0,0,56,"45-59","secondary","city","gov"
23985,0,1,0,0,41,"30-44","higher","city","none"
23986,0,1,0,1,33,"30-44","higher","town","gov"
23987,1,0,1,0,46,"45-59","secondary","city","none"
23988,1,0,0,0,78,"60+","secondary","rural","none"
23989,1,0,0,1,45,"45-59","secondary","rural","none"
23990,1,0,0,1,62,"60+","secondary","town","opp"
23991,0,1,0,1,47,"45-59","higher","rural","gov"
23992,0,1,0,1,60,"60+","secondary","city","gov"
23993,0,1,0,1,72,"60+","secondary","city","none"
23994,1,0,0,0,50,"45-59","higher","rural","opp"
23995,0,1,0,0,32,"30-44","secondary","rural","opp"
23996,0,1,0,1,45,"45-59","secondary","town","gov"
23997,0,1,0,1,38,"30-44","higher","rural","none"
23998,1,0,0,1,21,"18-29","higher","town","gov"
23999,1,0,1,0,58,"45-59","higher","city","opp"
24000,0,1,0,1,50,"45-59","secondary","city","gov"
24001,1,0,0,0,23,"18-29","higher","city","none"
24002,0,1,0,1,59,"45-59","secondary","rural","opp"
24003,0,1,0,0,35,"30-44","secondary","town","opp"
24004,1,0,1,0,71,"60+","higher","city","gov"
24005,1,0,0,0,47,"45-59","higher","town","gov"
24006,0,1,0,1,31,"30-44","higher","town","opp"
24007,0,1,0,1,23,"18-29","higher","rural","none"
24008,0,1,0,1,46,"45-59","basic","city","opp"
24009,1,0,0,0,35,"30-44","secondary","rural","gov"
24010,1,0,0,1,61,"60+","higher","town","gov"
24011,1,0,0,0,50,"45-59","secondary","rural","none"
24012,1,0,1,0,42,"30-44","higher","town","gov"
24013,0,1,0,1,34,"30-44","secondary","town","opp"
24014,0,1,0,1,47,"45-59","basic","rural","opp"
24015,1,0,0,0,72,"60+","basic","rural","none"
24016,1,0,0,1,61,"60+","basic","town","gov"
24017,0,1,0,1,35,"30-44","basic","rural","gov"
24018,1,0,1,1,43,"30-44","secondary","rural","gov"
24019,1,0,0,0,31,"30-44","secondary","rural","gov"
24020,0,1,0,1,59,"45-59","secondary","town","opp"
24021,0,1,0,1,82,"60+","secondary","rural","opp"
24022,1,0,0,1,47,"45-59","secondary","rural","gov"
24023,0,1,0,1,30,"30-44","secondary","town","gov"
24024,1,0,0,0,42,"30-44","secondary","town","opp"
24025,0,1,0,0,33,"30-44","secondary","rural","opp"
24026,0,1,0,1,25,"18-29","higher","rural","none"
24027,0,1,0,0,32,"30-44","higher","rural","gov"
24028,0,1,0,1,44,"30-44","basic","rural","opp"
24029,0,1,0,1,25,"18-29","secondary","city","gov"
24030,1,0,0,1,77,"60+","higher","city","none"
24031,1,0,1,1,79,"60+","secondary","city","opp"
24032,0,1,0,0,70,"60+","secondary","city","none"
24033,0,1,0,0,27,"18-29","secondary","town","none"
24034,1,0,0,1,40,"30-44","higher","town","opp"
24035,1,0,0,1,46,"45-59","higher","town","gov"
24036,0,1,0,0,56,"45-59","secondary","town","gov"
24037,1,0,0,0,45,"45-59","basic","city","gov"
24038,1,0,0,0,29,"18-29","secondary","city","gov"
24039,1,0,0,0,57,"45-59","higher","rural","none"
24040,0,1,0,0,63,"60+","basic","town","gov"
24041,0,1,0,1,32,"30-44","secondary","town","none"
24042,0,1,0,0,58,"45-59","basic","rural","gov"
24043,1,0,0,1,71,"60+","secondary","town","opp"
24044,0,1,0,0,54,"45-59","higher","rural","opp"
24045,0,1,0,1,78,"60+","secondary","rural","gov"
24046,0,1,0,0,74,"60+","secondary","rural","none"
24047,0,1,1,1,41,"30-44","higher","city","gov"
24048,1,0,0,0,54,"45-59","higher","rural","opp"
24049,1,0,0,1,53,"45-59","secondary","rural","gov"
24050,1,0,0,0,39,"30-44","higher","town","opp"
24051,0,1,0,0,30,"30-44","secondary","city","none"
24052,1,0,0,1,53,"45-59","secondary","town","none"
24053,1,0,0,0,29,"18-29","higher","city","gov"
24054,0,1,0,1,72,"60+","basic","town","gov"
24055,0,1,1,1,46,"45-59","higher","town","gov"
24056,1,0,1,1,62,"60+","secondary","rural","opp"
24057,0,1,0,0,39,"30-44","secondary","city","gov"
24058,0,1,0,0,55,"45-59","higher","city","none"
24059,0,1,1,1,43,"30-44","secondary","town","none"
24060,1,0,0,1,31,"30-44","secondary","rural","gov"
24061,0,1,0,1,70,"60+","secondary","city","opp"
24062,0,1,0,1,48,"45-59","secondary","city","none"
24063,0,1,0,1,52,"45-59","secondary","rural","opp"
24064,0,1,0,0,49,"45-59","higher","rural","gov"
24065,0,1,0,0,63,"60+","secondary","rural","gov"
24066,0,1,0,1,53,"45-59","secondary","town","gov"
24067,1,0,0,1,38,"30-44","higher","town","none"
24068,0,1,0,0,53,"45-59","secondary","town","none"
24069,0,1,0,1,60,"60+","secondary","rural","gov"
24070,1,0,1,1,72,"60+","higher","city","opp"
24071,0,1,0,1,60,"60+","basic","rural","none"
24072,1,0,0,1,40,"30-44","secondary","rural","opp"
24073,0,1,0,0,51,"45-59","basic","rural","none"
24074,1,0,0,0,68,"60+","secondary","town","gov"
24075,0,1,0,0,52,"45-59","higher","town","none"
24076,1,0,0,1,69,"60+","secondary","rural","none"
24077,1,0,0,0,29,"18-29","secondary","town","none"
24078,1,0,0,0,81,"60+","basic","town","none"
24079,1,0,0,0,38,"30-44","higher","city","gov"
24080,1,0,0,1,54,"45-59","secondary","city","opp"
24081,1,0,0,0,64,"60+","secondary","rural","none"
24082,1,0,0,1,51,"45-59","secondary","rural","gov"
24083,1,0,1,0,26,"18-29","secondary","rural","gov"
24084,1,0,0,0,46,"45-59","higher","rural","none"
24085,1,0,1,0,45,"45-59","higher","town","opp"
24086,1,0,0,0,51,"45-59","secondary","town","none"
24087,0,1,0,0,48,"45-59","secondary","city","opp"
24088,0,1,0,0,67,"60+","higher","city","opp"
24089,0,1,0,1,46,"45-59","secondary","rural","opp"
24090,0,1,0,1,24,"18-29","higher","city","opp"
24091,0,1,0,1,45,"45-59","secondary","city","gov"
24092,1,0,1,1,34,"30-44","higher","city","opp"
24093,0,1,0,1,47,"45-59","higher","rural","opp"
24094,0,1,0,1,39,"30-44","secondary","town","opp"
24095,0,1,0,0,34,"30-44","secondary","town","none"
24096,0,1,0,0,27,"18-29","higher","town","none"
24097,1,0,0,1,64,"60+","secondary","rural","gov"
24098,1,0,0,1,34,"30-44","secondary","rural","opp"
24099,1,0,1,0,29,"18-29","higher","rural","gov"
24100,1,0,0,0,66,"60+","secondary","town","gov"
24101,0,1,0,0,49,"45-59","secondary","rural","none"
24102,1,0,0,0,49,"45-59","higher","rural","opp"
24103,1,0,0,1,54,"45-59","secondary","city","none"
24104,0,1,0,0,47,"45-59","basic","rural","gov"
24105,0,1,0,1,38,"30-44","secondary","town","gov"
24106,1,0,0,0,46,"45-59","secondary","rural","gov"
24107,1,0,0,1,55,"45-59","basic","city","gov"
24108,0,1,1,1,41,"30-44","secondary","city","gov"
24109,1,0,0,0,32,"30-44","higher","rural","opp"
24110,1,0,0,0,76,"60+","basic","town","none"
24111,1,0,0,0,34,"30-44","secondary","town","none"
24112,1,0,0,1,56,"45-59","basic","town","none"
24113,1,0,1,1,34,"30-44","secondary","rural","gov"
24114,0,1,0,0,83,"60+","secondary","rural","gov"
24115,0,1,0,1,54,"45-59","secondary","town","none"
24116,1,0,1,1,34,"30-44","secondary","rural","opp"
24117,1,0,0,0,39,"30-44","secondary","rural","gov"
24118,1,0,0,1,47,"45-59","secondary","rural","none"
24119,1,0,0,1,41,"30-44","basic","town","none"
24120,1,0,0,1,43,"30-44","higher","town","opp"
24121,0,1,0,1,45,"45-59","secondary","rural","none"
24122,0,1,0,0,25,"18-29","secondary","town","none"
24123,0,1,0,0,61,"60+","secondary","town","none"
24124,0,1,0,1,44,"30-44","higher","city","gov"
24125,0,1,0,0,69,"60+","higher","town","none"
24126,0,1,0,1,78,"60+","higher","town","gov"
24127,0,1,0,1,33,"30-44","higher","city","none"
24128,1,0,0,0,58,"45-59","basic","city","none"
24129,0,1,0,0,45,"45-59","higher","city","none"
24130,1,0,0,1,64,"60+","secondary","rural","gov"
24131,0,1,0,0,59,"45-59","higher","rural","none"
24132,1,0,1,1,41,"30-44","secondary","city","opp"
24133,1,0,1,0,27,"18-29","higher","city","opp"
24134,1,0,0,0,31,"30-44","higher","city","none"
24135,1,0,0,1,57,"45-59","secondary","town","opp"
24136,1,0,0,1,59,"45-59","higher","town","gov"
24137,1,0,1,1,24,"18-29","higher","city","none"
24138,1,0,0,1,66,"60+","secondary","city","none"
24139,0,1,0,1,57,"45-59","secondary","city","opp"
24140,1,0,0,1,38,"30-44","secondary","town","opp"
24141,0,1,0,1,55,"45-59","secondary","city","opp"
24142,0,1,0,1,54,"45-59","secondary","town","gov"
24143,1,0,0,1,58,"45-59","basic","rural","none"
24144,0,1,0,0,40,"30-44","higher","city","none"
24145,0,1,0,1,49,"45-59","secondary","rural","gov"
24146,0,1,0,0,65,"60+","basic","town","opp"
24147,1,0,1,1,39,"30-44","secondary","town","opp"
24148,1,0,0,1,48,"45-59","secondary","rural","gov"
24149,1,0,1,0,43,"30-44","secondary","rural","opp"
24150,1,0,0,0,30,"30-44","secondary","city","opp"
24151,1,0,0,1,46,"45-59","secondary","rural","opp"
24152,1,0,0,1,34,"30-44","secondary","town","opp"
24153,0,1,0,1,33,"30-44","higher","city","opp"
24154,0,1,0,0,62,"60+","secondary","rural","none"
24155,1,0,1,1,51,"45-59","secondary","rural","opp"
24156,0,1,0,1,49,"45-59","secondary","rural","opp"
24157,0,1,1,1,26,"18-29","higher","town","gov"
24158,0,1,0,1,64,"60+","secondary","city","none"
24159,0,1,0,0,67,"60+","basic","town","gov"
24160,1,0,0,0,61,"60+","secondary","town","none"
24161,1,0,0,1,47,"45-59","secondary","rural","none"
24162,1,0,0,1,80,"60+","basic","rural","opp"
24163,1,0,0,1,52,"45-59","secondary","city","none"
24164,1,0,0,0,38,"30-44","secondary","town","none"
24165,1,0,1,1,44,"30-44","secondary","town","gov"
24166,0,1,0,0,39,"30-44","higher","rural","none"
24167,0,1,0,1,68,"60+","basic","rural","none"
24168,1,0,1,0,55,"45-59","higher","rural","gov"
24169,0,1,0,1,69,"60+","secondary","rural","none"
24170,1,0,0,0,62,"60+","higher","town","none"
24171,1,0,0,0,75,"60+","secondary","city","opp"
24172,1,0,0,0,67,"60+","basic","city","gov"
24173,1,0,0,0,38,"30-44","secondary","rural","opp"
24174,0,1,0,0,59,"45-59","secondary","town","none"
24175,0,1,0,1,38,"30-44","higher","town","gov"
24176,0,1,0,0,48,"45-59","secondary","town","gov"
24177,0,1,0,1,49,"45-59","secondary","rural","none"
24178,1,0,0,0,59,"45-59","secondary","rural","opp"
24179,0,1,0,0,38,"30-44","basic","town","none"
24180,1,0,0,0,41,"30-44","basic","rural","gov"
24181,1,0,0,1,77,"60+","secondary","city","none"
24182,1,0,0,0,74,"60+","secondary","city","opp"
24183,0,1,0,1,70,"60+","secondary","rural","gov"
24184,0,1,0,0,34,"30-44","higher","town","gov"
24185,0,1,0,1,36,"30-44","basic","town","opp"
24186,0,1,1,0,58,"45-59","secondary","town","gov"
24187,1,0,0,0,71,"60+","secondary","city","none"
24188,0,1,0,1,64,"60+","basic","town","gov"
24189,0,1,0,1,33,"30-44","secondary","city","gov"
24190,0,1,0,1,28,"18-29","secondary","town","none"
24191,0,1,0,0,28,"18-29","higher","town","none"
24192,0,1,0,0,60,"60+","basic","rural","gov"
24193,0,1,0,0,48,"45-59","secondary","city","gov"
24194,0,1,0,0,62,"60+","higher","town","gov"
24195,0,1,0,1,74,"60+","higher","city","gov"
24196,1,0,1,1,61,"60+","higher","rural","opp"
24197,0,1,0,1,32,"30-44","secondary","rural","opp"
24198,0,1,0,0,56,"45-59","secondary","town","opp"
24199,1,0,0,0,31,"30-44","secondary","town","gov"
24200,1,0,0,0,61,"60+","secondary","town","none"
24201,0,1,0,0,60,"60+","higher","town","none"
24202,1,0,0,1,54,"45-59","higher","town","opp"
24203,0,1,1,1,30,"30-44","higher","rural","none"
24204,0,1,0,1,43,"30-44","secondary","rural","gov"
24205,1,0,0,0,69,"60+","secondary","rural","opp"
24206,1,0,0,1,39,"30-44","higher","city","none"
24207,0,1,0,0,47,"45-59","basic","town","opp"
24208,0,1,0,0,49,"45-59","higher","rural","gov"
24209,1,0,0,1,53,"45-59","secondary","rural","none"
24210,0,1,0,1,58,"45-59","secondary","rural","none"
24211,0,1,0,0,60,"60+","secondary","town","none"
24212,0,1,0,1,40,"30-44","higher","town","opp"
24213,1,0,0,0,43,"30-44","secondary","rural","none"
24214,1,0,0,1,63,"60+","higher","rural","opp"
24215,0,1,0,0,59,"45-59","secondary","rural","opp"
24216,0,1,0,1,51,"45-59","secondary","rural","gov"
24217,0,1,1,0,68,"60+","secondary","rural","none"
24218,0,1,0,1,65,"60+","higher","town","gov"
24219,1,0,0,1,62,"60+","secondary","city","opp"
24220,0,1,0,1,56,"45-59","higher","town","gov"
24221,0,1,0,0,21,"18-29","secondary","city","gov"
24222,0,1,0,1,54,"45-59","higher","town","opp"
24223,1,0,0,1,57,"45-59","higher","rural","none"
24224,1,0,0,1,57,"45-59","secondary","rural","opp"
24225,1,0,0,1,64,"60+","basic","rural","gov"
24226,1,0,0,0,63,"60+","secondary","town","gov"
24227,0,1,0,1,66,"60+","secondary","rural","none"
24228,0,1,1,1,24,"18-29","higher","town","opp"
24229,1,0,1,0,45,"45-59","higher","city","none"
24230,0,1,0,1,74,"60+","basic","city","opp"
24231,1,0,0,1,21,"18-29","higher","city","none"
24232,0,1,0,0,76,"60+","higher","town","gov"
24233,1,0,0,0,32,"30-44","secondary","city","none"
24234,0,1,0,1,49,"45-59","secondary","town","opp"
24235,1,0,0,1,38,"30-44","secondary","rural","gov"
24236,0,1,0,1,61,"60+","secondary","town","opp"
24237,1,0,0,0,73,"60+","secondary","rural","none"
24238,0,1,0,0,35,"30-44","higher","city","opp"
24239,1,0,0,1,47,"45-59","secondary","rural","opp"
24240,0,1,0,0,53,"45-59","higher","city","none"
24241,0,1,1,1,42,"30-44","secondary","town","gov"
24242,0,1,0,1,36,"30-44","higher","rural","opp"
24243,0,1,0,0,62,"60+","higher","town","none"
24244,1,0,0,1,66,"60+","secondary","rural","none"
24245,0,1,0,0,31,"30-44","secondary","rural","opp"
24246,1,0,0,0,81,"60+","secondary","rural","gov"
24247,1,0,1,0,56,"45-59","higher","city","gov"
24248,0,1,0,1,51,"45-59","secondary","city","none"
24249,1,0,0,0,29,"18-29","higher","city","none"
24250,1,0,0,1,73,"60+","higher","city","opp"
24251,0,1,0,0,29,"18-29","secondary","town","none"
24252,0,1,0,0,39,"30-44","higher","city","none"
24253,0,1,0,1,26,"18-29","secondary","city","none"
24254,1,0,0,1,56,"45-59","secondary","town","none"
24255,0,1,0,0,61,"60+","higher","town","none"
24256,1,0,0,0,27,"18-29","secondary","city","gov"
24257,1,0,0,1,60,"60+","higher","rural","gov"
24258,1,0,0,1,54,"45-59","higher","city","none"
24259,0,1,0,1,76,"60+","basic","city","gov"
24260,1,0,0,1,58,"45-59","basic","town","opp"
24261,1,0,0,0,71,"60+","higher","town","none"
24262,0,1,0,0,31,"30-44","higher","city","gov"
24263,1,0,0,1,25,"18-29","higher","rural","none"
24264,0,1,0,1,45,"45-59","secondary","city","none"
24265,1,0,1,0,41,"30-44","secondary","town","none"
24266,1,0,0,1,28,"18-29","higher","city","opp"
24267,1,0,0,0,65,"60+","secondary","town","none"
24268,1,0,0,0,38,"30-44","higher","city","none"
24269,1,0,0,0,53,"45-59","secondary","rural","none"
24270,1,0,0,1,44,"30-44","secondary","town","opp"
24271,1,0,0,1,59,"45-59","secondary","town","opp"
24272,1,0,0,1,29,"18-29","basic","rural","opp"
24273,0,1,0,1,73,"60+","secondary","rural","none"
24274,0,1,0,0,62,"60+","secondary","town","opp"
24275,0,1,0,0,66,"60+","secondary","rural","gov"
24276,1,0,0,1,67,"60+","higher","rural","opp"
24277,1,0,0,0,70,"60+","secondary","town","opp"
24278,0,1,0,1,50,"45-59","secondary","rural","opp"
24279,1,0,0,0,64,"60+","secondary","rural","opp"
24280,1,0,0,0,48,"45-59","secondary","town","none"
24281,0,1,0,1,51,"45-59","higher","town","gov"
24282,0,1,0,0,32,"30-44","secondary","town","opp"
24283,1,0,1,1,45,"45-59","higher","city","gov"
24284,1,0,0,0,73,"60+","basic","town","gov"
24285,0,1,0,0,74,"60+","basic","town","gov"
24286,1,0,0,1,69,"60+","secondary","town","none"
24287,0,1,0,1,71,"60+","basic","town","none"
24288,0,1,0,0,37,"30-44","secondary","city","opp"
24289,1,0,0,1,58,"45-59","secondary","town","none"
24290,1,0,1,0,28,"18-29","higher","city","none"
24291,1,0,0,0,60,"60+","basic","rural","none"
24292,1,0,0,0,41,"30-44","higher","town","opp"
24293,1,0,0,1,48,"45-59","secondary","town","none"
24294,0,1,0,0,44,"30-44","secondary","rural","none"
24295,0,1,0,0,40,"30-44","basic","rural","none"
24296,0,1,0,1,36,"30-44","secondary","rural","gov"
24297,0,1,0,1,33,"30-44","basic","city","gov"
24298,0,1,0,0,50,"45-59","higher","town","none"
24299,0,1,0,1,38,"30-44","higher","town","gov"
24300,0,1,0,1,33,"30-44","secondary","town","opp"
24301,0,1,0,0,53,"45-59","higher","town","gov"
24302,0,1,0,0,45,"45-59","secondary","city","gov"
24303,0,1,1,0,44,"30-44","secondary","city","gov"
24304,1,0,0,1,57,"45-59","secondary","town","opp"
24305,0,1,0,0,45,"45-59","basic","town","opp"
24306,1,0,0,1,69,"60+","secondary","rural","gov"
24307,0,1,0,1,37,"30-44","basic","city","opp"
24308,0,1,0,1,71,"60+","higher","town","none"
24309,0,1,0,0,74,"60+","secondary","rural","none"
24310,1,0,0,0,20,"18-29","higher","city","opp"
24311,1,0,1,0,61,"60+","secondary","town","none"
24312,1,0,1,1,33,"30-44","secondary","rural","none"
24313,1,0,0,1,50,"45-59","secondary","rural","opp"
24314,0,1,1,0,39,"30-44","higher","city","gov"
24315,0,1,0,0,40,"30-44","secondary","city","none"
24316,1,0,0,1,62,"60+","secondary","town","gov"
24317,1,0,1,0,57,"45-59","secondary","city","gov"
24318,0,1,0,1,38,"30-44","secondary","rural","opp"
24319,1,0,1,1,57,"45-59","secondary","town","gov"
24320,0,1,0,1,41,"30-44","basic","rural","none"
24321,0,1,0,1,59,"45-59","secondary","rural","none"
24322,1,0,1,0,37,"30-44","higher","town","gov"
24323,0,1,0,0,25,"18-29","secondary","town","gov"
24324,0,1,0,0,68,"60+","secondary","rural","none"
24325,0,1,0,0,37,"30-44","secondary","rural","gov"
24326,0,1,0,0,51,"45-59","higher","city","none"
24327,0,1,0,0,54,"45-59","basic","city","gov"
24328,1,0,0,0,72,"60+","secondary","rural","opp"
24329,0,1,0,1,58,"45-59","higher","rural","opp"
24330,1,0,0,0,46,"45-59","secondary","rural","none"
24331,1,0,0,0,68,"60+","basic","rural","none"
24332,1,0,0,0,30,"30-44","higher","rural","none"
24333,1,0,1,1,63,"60+","secondary","city","gov"
24334,0,1,0,0,29,"18-29","higher","town","opp"
24335,0,1,0,0,45,"45-59","secondary","town","gov"
24336,1,0,0,0,47,"45-59","higher","rural","opp"
24337,1,0,0,1,33,"30-44","higher","town","gov"
24338,1,0,0,1,59,"45-59","higher","city","none"
24339,0,1,0,1,51,"45-59","higher","rural","gov"
24340,0,1,0,0,64,"60+","secondary","rural","gov"
24341,0,1,0,1,35,"30-44","secondary","rural","gov"
24342,1,0,0,0,49,"45-59","secondary","city","none"
24343,1,0,0,0,37,"30-44","secondary","rural","opp"
24344,0,1,1,0,45,"45-59","secondary","city","opp"
24345,1,0,0,1,58,"45-59","secondary","city","gov"
24346,1,0,1,0,63,"60+","secondary","town","opp"
24347,1,0,0,0,51,"45-59","higher","town","none"
24348,1,0,0,0,44,"30-44","higher","town","none"
24349,0,1,0,1,34,"30-44","higher","town","none"
24350,1,0,0,1,27,"18-29","secondary","city","opp"
24351,1,0,0,1,55,"45-59","secondary","city","none"
24352,0,1,0,0,78,"60+","basic","city","opp"
24353,0,1,0,0,50,"45-59","higher","city","none"
24354,1,0,0,0,55,"45-59","secondary","city","none"
24355,1,0,0,0,38,"30-44","higher","rural","opp"
24356,1,0,1,0,67,"60+","higher","town","gov"
24357,1,0,0,0,59,"45-59","higher","town","gov"
24358,0,1,0,1,33,"30-44","higher","rural","gov"
24359,0,1,0,1,69,"60+","basic","town","none"
24360,0,1,0,0,46,"45-59","basic","rural","gov"
24361,0,1,0,0,31,"30-44","basic","rural","opp"
24362,1,0,1,1,63,"60+","secondary","town","none"
24363,0,1,0,0,47,"45-59","secondary","town","none"
24364,0,1,0,1,49,"45-59","higher","rural","opp"
24365,0,1,1,0,53,"45-59","secondary","town","opp"
24366,1,0,0,0,22,"18-29","secondary","town","gov"
24367,1,0,0,0,58,"45-59","secondary","rural","opp"
24368,1,0,0,0,59,"45-59","secondary","town","gov"
24369,0,1,1,0,43,"30-44","secondary","rural","gov"
24370,1,0,0,0,46,"45-59","secondary","town","gov"
24371,1,0,0,1,40,"30-44","secondary","rural","none"
24372,0,1,0,1,46,"45-59","secondary","city","opp"
24373,0,1,0,0,54,"45-59","higher","town","none"
24374,0,1,0,1,52,"45-59","basic","rural","none"
24375,1,0,0,0,72,"60+","higher","city","gov"
24376,1,0,0,1,51,"45-59","secondary","city","gov"
24377,1,0,1,1,22,"18-29","higher","city","none"
24378,0,1,0,1,35,"30-44","secondary","rural","opp"
24379,0,1,0,1,58,"45-59","higher","rural","gov"
24380,0,1,0,0,74,"60+","basic","rural","opp"
24381,0,1,0,1,28,"18-29","secondary","city","gov"
24382,0,1,0,1,65,"60+","higher","rural","none"
24383,1,0,0,0,52,"45-59","secondary","rural","none"
24384,0,1,0,1,33,"30-44","secondary","town","gov"
24385,1,0,0,1,63,"60+","secondary","rural","opp"
24386,0,1,0,0,47,"45-59","basic","town","none"
24387,1,0,0,1,52,"45-59","secondary","town","opp"
24388,1,0,0,0,61,"60+","higher","city","none"
24389,0,1,0,1,57,"45-59","secondary","town","opp"
24390,1,0,0,0,54,"45-59","secondary","town","gov"
24391,0,1,0,1,43,"30-44","secondary","city","opp"
24392,0,1,0,1,26,"18-29","secondary","rural","gov"
24393,1,0,0,0,38,"30-44","higher","town","none"
24394,0,1,0,1,76,"60+","secondary","rural","none"
24395,0,1,0,0,59,"45-59","secondary","rural","none"
24396,1,0,1,0,49,"45-59","higher","rural","opp"
24397,0,1,0,1,52,"45-59","secondary","city","opp"
24398,0,1,0,1,76,"60+","secondary","rural","none"
24399,1,0,1,1,31,"30-44","higher","town","none"
24400,1,0,0,0,50,"45-59","secondary","city","gov"
24401,1,0,0,1,67,"60+","secondary","rural","none"
24402,1,0,0,0,50,"45-59","secondary","rural","none"
24403,1,0,0,1,23,"18-29","secondary","town","none"
24404,0,1,0,0,40,"30-44","higher","city","gov"
24405,1,0,0,0,41,"30-44","higher","rural","opp"
24406,1,0,0,0,53,"45-59","basic","rural","none"
24407,1,0,1,0,31,"30-44","secondary","town","none"
24408,0,1,0,1,72,"60+","secondary","rural","gov"
24409,1,0,0,1,29,"18-29","secondary","rural","gov"
24410,0,1,0,1,65,"60+","secondary","city","none"
24411,0,1,0,1,44,"30-44","higher","rural","gov"
24412,0,1,0,1,59,"45-59","secondary","town","gov"
24413,1,0,0,0,81,"60+","secondary","city","none"
24414,1,0,0,1,42,"30-44","secondary","rural","opp"
24415,1,0,0,1,71,"60+","basic","town","opp"
24416,0,1,0,0,33,"30-44","basic","city","none"
24417,1,0,0,0,69,"60+","secondary","rural","none"
24418,1,0,0,1,29,"18-29","higher","town","opp"
24419,1,0,0,0,26,"18-29","higher","rural","opp"
24420,0,1,1,1,49,"45-59","secondary","town","gov"
24421,1,0,0,0,47,"45-59","secondary","city","none"
24422,0,1,0,0,26,"18-29","higher","town","gov"
24423,1,0,0,1,55,"45-59","secondary","town","opp"
24424,1,0,1,0,46,"45-59","secondary","town","gov"
24425,1,0,0,0,36,"30-44","secondary","town","gov"
24426,1,0,0,1,57,"45-59","higher","city","none"
24427,0,1,0,1,78,"60+","basic","rural","opp"
24428,0,1,0,0,45,"45-59","higher","city","none"
24429,1,0,0,0,64,"60+","basic","rural","none"
24430,1,0,0,1,37,"30-44","higher","town","none"
24431,0,1,0,0,39,"30-44","secondary","town","gov"
24432,0,1,0,0,68,"60+","higher","city","opp"
24433,1,0,0,1,43,"30-44","higher","town","opp"
24434,0,1,0,1,63,"60+","secondary","rural","none"
24435,0,1,0,1,70,"60+","basic","rural","gov"
24436,0,1,0,0,75,"60+","secondary","town","none"
24437,1,0,0,0,45,"45-59","secondary","town","gov"
24438,1,0,0,1,48,"45-59","basic","rural","gov"
24439,1,0,1,1,44,"30-44","higher","rural","none"
24440,1,0,0,1,50,"45-59","higher","rural","none"
24441,0,1,0,0,56,"45-59","higher","city","none"
24442,1,0,0,1,47,"45-59","higher","town","opp"
24443,0,1,0,1,54,"45-59","secondary","town","gov"
24444,1,0,1,0,62,"60+","higher","rural","gov"
24445,0,1,0,0,52,"45-59","secondary","city","gov"
24446,1,0,0,1,77,"60+","higher","town","none"
24447,0,1,1,0,61,"60+","higher","rural","gov"
24448,1,0,0,0,50,"45-59","higher","town","none"
24449,0,1,0,1,39,"30-44","secondary","town","none"
24450,0,1,0,0,49,"45-59","secondary","city","gov"
24451,0,1,0,1,51,"45-59","higher","rural","none"
24452,1,0,1,0,39,"30-44","higher","town","opp"
24453,1,0,1,0,44,"30-44","higher","town","gov"
24454,1,0,1,1,63,"60+","higher","city","gov"
24455,0,1,0,1,40,"30-44","secondary","town","none"
24456,1,0,1,1,74,"60+","secondary","town","opp"
24457,1,0,0,0,32,"30-44","secondary","rural","gov"
24458,0,1,0,0,47,"45-59","secondary","city","none"
24459,0,1,0,1,46,"45-59","higher","city","none"
24460,0,1,0,1,65,"60+","higher","town","none"
24461,1,0,0,1,64,"60+","basic","city","none"
24462,0,1,0,1,55,"45-59","higher","rural","none"
24463,0,1,0,1,54,"45-59","higher","city","none"
24464,0,1,0,1,60,"60+","secondary","rural","none"
24465,0,1,0,1,34,"30-44","secondary","city","none"
24466,0,1,0,1,47,"45-59","secondary","city","opp"
24467,0,1,0,0,48,"45-59","secondary","rural","gov"
24468,0,1,0,1,75,"60+","higher","rural","opp"
24469,1,0,0,0,25,"18-29","secondary","city","none"
24470,0,1,0,0,51,"45-59","secondary","city","gov"
24471,1,0,1,1,76,"60+","basic","city","gov"
24472,0,1,0,0,43,"30-44","higher","rural","opp"
24473,0,1,0,1,39,"30-44","secondary","rural","none"
24474,1,0,0,0,57,"45-59","secondary","town","gov"
24475,1,0,0,0,28,"18-29","secondary","town","opp"
24476,1,0,0,1,40,"30-44","basic","rural","gov"
24477,1,0,0,1,82,"60+","secondary","city","none"
24478,1,0,0,1,61,"60+","basic","rural","none"
24479,1,0,0,0,57,"45-59","secondary","rural","none"
24480,0,1,0,0,60,"60+","basic","town","none"
24481,1,0,0,1,60,"60+","basic","rural","opp"
24482,0,1,0,1,51,"45-59","higher","town","none"
24483,0,1,0,0,73,"60+","secondary","city","none"
24484,1,0,0,0,28,"18-29","secondary","city","none"
24485,1,0,0,0,52,"45-59","secondary","rural","opp"
24486,1,0,0,0,39,"30-44","secondary","rural","none"
24487,0,1,0,0,48,"45-59","secondary","city","none"
24488,1,0,0,1,25,"18-29","basic","town","gov"
24489,0,1,0,1,75,"60+","higher","rural","gov"
24490,0,1,0,0,42,"30-44","higher","rural","gov"
24491,0,1,0,1,68,"60+","higher","rural","opp"
24492,0,1,0,1,71,"60+","basic","town","none"
24493,0,1,0,0,37,"30-44","higher","city","none"
